Kraj,Trida,Sesk,Podsesk,Pol,Para,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2024 VKT
Hlavní město Praha,Běžné výdaje,50,501,5011,4329,0.0,5889767.0,5469192.0,6466803.0,7467773.0,7262973.0,10876888.0,10799946.0,11775034.0,92838.0,0.0,12369881.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4339,7105141.5,8581121.0,9509662.0,10671506.0,10167862.0,13400326.6,13696914.0,13973079.0,15229132.0,478044.6400000006,0.0,14269824.36
Hlavní město Praha,Běžné výdaje,50,501,5011,4341,88059.7,539008.0,581249.25,725302.33,487192.0,454495.0,470727.0,370594.0,376534.0,205886.0,0.0,391522.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4342,461912.0,468373.0,550800.0,589282.0,669312.0,333833.0,428278.0,676251.0,994080.98,307418.5,0.0,515018.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4349,165000.0,566883.0,923128.0,2092688.92,1207456.6,1410691.3,542480.0,692824.0,480992.0,10564.0,0.0,383553.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4351,5897448.0,6622859.0,7564213.0,9104173.0,9343242.0,11948780.4,13412670.0,8308603.0,9163015.0,7933743.0,0.0,2381613.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4359,511112.0,791431.0,1150673.0,1159574.0,1020790.0,1905116.07,2480247.14,2758557.29,2762459.0,233152.0,0.0,2595300.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4375,0.0,0.0,0.0,0.0,94790.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4379,0.0,0.0,608678.36,1403380.57,1340074.5,1312829.3,1511657.2,1409658.08,952095.1,30830.0,0.0,536300.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4399,697354.48,753423.6,2164677.7,4466608.28,3123980.0,3486694.0,3421404.53,2725247.4,6669660.01,1666046.5500000007,0.0,4761078.93
Hlavní město Praha,Běžné výdaje,50,501,5011,5212,350000.0,395000.0,411000.0,453000.0,539832.0,421153.0,589494.0,294416.0,444900.0,487532.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,5213,0.0,0.0,0.0,0.0,0.0,8551964.0,144832.0,210000.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,5311,917415897.0,915047300.0,948474600.0,996986000.0,1051659200.0,1099686000.0,1110887600.0,1109461100.0,1154438366.0,1197166950.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,5399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211124.84999999998,0.0,947876.15
Hlavní město Praha,Běžné výdaje,50,501,5011,5512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10934.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,6112,211472.0,231379.0,220960.0,240096.0,273471.0,329385.0,238197.0,235346.0,264940.0,284969.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,6114,0.0,0.0,1269251.0,0.0,227331.0,0.0,3506480.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,6115,0.0,277948.0,0.0,3022138.47,0.0,435551.0,0.0,2338627.0,0.0,1141296.0,0.0,641006.0
Hlavní město Praha,Běžné výdaje,50,501,5011,6117,0.0,0.0,0.0,0.0,1669983.46,0.0,0.0,0.0,0.0,1255475.0,0.0,882748.0
Hlavní město Praha,Běžné výdaje,50,501,5011,6118,0.0,0.0,0.0,2077754.0,0.0,0.0,0.0,160998.0,2548059.74,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,6149,0.0,0.0,0.0,0.0,54906.0,63144.13,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,6171,2455067960.79,2638976340.78,2827427107.46,3115150798.28,3310983229.42,3445885527.77,3576666457.94,3718321059.83,4136455028.89,4338647449.01,0.0,159881179.67000002
Hlavní město Praha,Běžné výdaje,50,501,5011,6173,0.0,0.0,0.0,2864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,6211,22611414.0,28098832.0,27964957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,6221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520926.0,524300.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5019,3111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5019,5213,0.0,0.0,0.0,0.0,0.0,391726.82,21675.0,0.0,0.0,4527.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5019,5512,18195.0,16742.0,25796.0,2713.0,6288.0,76950.4,61260.1,29030.75,5241.0,77970.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5019,6112,914009.84,1560889.36,1074260.25,907990.27,748989.32,874363.5,890681.08,1083998.0,1596716.38,1643792.26,0.0,0.0
